True Value	Linear Regression	SMO Poly Kernel	SMO RBF Kernel	SMO Puk Kernel
neg	Neg	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	pos	pos	pos
neg	Neg	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Neg	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Neg	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Neg	neg	pos	pos
neg	Pos	neg	pos	neg
neg	Pos	neg	pos	pos
neg	Neg	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	pos	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Neg	neg	pos	pos
pos	Neg	neg	neg	neg
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	pos	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Neg	neg	pos	pos
pos	Neg	neg	neg	pos
neg	Pos	pos	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	neg	neg
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	pos	pos	pos
pos	Pos	neg	pos	pos
neg	Neg	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	pos	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Neg	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	pos	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	pos	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Neg	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	pos	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	pos	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Neg	neg	pos	pos
pos	Pos	pos	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	pos	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	neg
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Neg	neg	pos	pos
pos	Pos	pos	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	pos	pos	pos
pos	Pos	neg	pos	pos
neg	Neg	neg	pos	pos
pos	Pos	pos	pos	pos
neg	Pos	pos	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	neg
pos	Pos	neg	pos	pos
pos	Pos	pos	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	pos	pos	pos
neg	Neg	neg	neg	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Neg	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	pos	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Neg	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	pos	pos	pos
neg	Pos	pos	pos	pos
pos	Pos	pos	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Neg	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	neg	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Neg	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	pos	pos	pos
neg	Neg	neg	neg	neg
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	neg
pos	Pos	neg	pos	pos
neg	Pos	pos	pos	pos
pos	Pos	pos	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	pos	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Neg	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	pos	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	neg	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	pos	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Neg	neg	pos	pos
pos	Pos	pos	pos	pos
neg	Neg	neg	neg	neg
pos	Neg	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Neg	neg	neg	neg
neg	Pos	neg	pos	pos
neg	Pos	neg	neg	neg
pos	Pos	neg	pos	pos
pos	Pos	pos	pos	pos
pos	Pos	neg	pos	neg
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Neg	neg	neg	neg
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Neg	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Neg	neg	pos	pos
pos	Pos	pos	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	pos	pos	pos
pos	Neg	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	pos	pos	pos
pos	Pos	pos	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Neg	neg	neg	neg
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Neg	neg	neg	neg
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Neg	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Neg	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Neg	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Neg	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	neg	pos
pos	Pos	pos	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	pos	pos	pos
pos	Neg	neg	pos	pos
pos	Pos	pos	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	pos	pos	pos
pos	Neg	neg	pos	neg
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Neg	neg	pos	pos
neg	Neg	neg	pos	pos
pos	Neg	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	pos	pos	pos
pos	Pos	pos	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	pos	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Neg	neg	neg	neg
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	pos	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Neg	neg	pos	pos
neg	Pos	pos	pos	pos
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	neg	pos	pos
neg	Pos	pos	pos	pos
neg	Neg	neg	pos	pos
pos	Pos	pos	pos	pos
pos	Pos	neg	pos	pos
neg	Neg	neg	neg	neg
neg	Pos	neg	pos	pos
pos	Pos	neg	pos	pos
pos	Neg	neg	pos	pos
pos	Pos	neg	pos	pos
neg	Pos	neg	neg	neg
pos	Pos	neg	pos	pos
