@relation 'Dataset-weka.filters.unsupervised.attribute.StringToWordVector-R1-W1000-prune-rate-1.0-N0-L-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-M1-O-tokenizerweka.core.tokenizers.WordTokenizer -delimiters \" \\r\\n\\t.,;:\\\'\\\"()?!\"-dictionarydatuak/dictionary.txt-weka.filters.unsupervised.instance.SparseToNonSparse-weka.filters.unsupervised.attribute.Remove-V-R15,187,148,176,169,112,21,117,150,111,91,79,90,23,22,114,49,106,132,65,152,186,64,51,183,189,159,86,156,105,102,100,4,71,19,123,94,113,52,108-109,139,185,89,142,14,69,50,39,171,153,143,88,59,26,147,24,46,9,63,101,60,58,42,166,57,181,84,161,129,140,172,134,120,85,5,168,115,119,33,77,188,80,174,167,173,141,99,137,160,135,40,128,66-67,133,93,127,131,175,12,149,144,47,2,124,145,25,31,96,18,82,75,138,7,157,28,43,36,130,78,17,136,53,151,8,20,104,72,32,182,163,61,154,165,73,83,56,62,191,54,35,76,68,155,10,38,44,179,126,81,45,13,122,34,74,146,30,98,97,170,125,95,110,37,116,162,87,41,6,118,92,107,190,180,16,11,29,55,3,103,121,177,48,27,164,184,158,70,178,1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute class {pos,neg}
@attribute bad numeric
@attribute worst numeric
@attribute stupid numeric
@attribute waste numeric
@attribute true numeric
@attribute perfectly numeric
@attribute boring numeric
@attribute plot numeric
@attribute subtle numeric
@attribute perfect numeric
@attribute mess numeric
@attribute life numeric
@attribute memorable numeric
@attribute brilliant numeric
@attribute both numeric
@attribute performances numeric
@attribute excellent numeric
@attribute others numeric
@attribute script numeric
@attribute guess numeric
@attribute supposed numeric
@attribute worse numeric
@attribute great numeric
@attribute fails numeric
@attribute wonderful numeric
@attribute yet numeric
@attribute terrible numeric
@attribute many numeric
@attribute tale numeric
@attribute oscar numeric
@attribute obvious numeric
@attribute none numeric
@attribute also numeric
@attribute history numeric
@attribute best numeric
@attribute powerful numeric
@attribute most numeric
@attribute performance numeric
@attribute family numeric
@attribute overall numeric
@attribute own numeric
@attribute similar numeric
@attribute world numeric
@attribute maybe numeric
@attribute solid numeric
@attribute attempt numeric
@attribute hilarious numeric
@attribute extremely numeric
@attribute dramatic numeric
@attribute unfortunately numeric
@attribute surprisingly numeric
@attribute sometimes numeric
@attribute may numeric
@attribute frank numeric
@attribute change numeric
@attribute strong numeric
@attribute bunch numeric
@attribute especially numeric
@attribute american numeric
@attribute got numeric
@attribute nothing numeric
@attribute friends numeric
@attribute finds numeric
@attribute effective numeric
@attribute tom numeric
@attribute final numeric
@attribute whom numeric
@attribute makes numeric
@attribute theres numeric
@attribute reason numeric
@attribute simple numeric
@attribute unlike numeric
@attribute sees numeric
@attribute poor numeric
@attribute man numeric
@attribute although numeric
@attribute tries numeric
@attribute personal numeric
@attribute political numeric
@attribute didnt numeric
@attribute jokes numeric
@attribute wouldnt numeric
@attribute light numeric
@attribute visual numeric
@attribute town numeric
@attribute very numeric
@attribute society numeric
@attribute no numeric
@attribute shows numeric
@attribute then numeric
@attribute sequel numeric
@attribute dumb numeric
@attribute reality numeric
@attribute have numeric
@attribute heart numeric
@attribute seen numeric
@attribute minutes numeric
@attribute quite numeric
@attribute save numeric
@attribute war numeric
@attribute anyway numeric
@attribute subplot numeric
@attribute somewhat numeric
@attribute events numeric
@attribute action numeric
@attribute predictable numeric
@attribute still numeric
@attribute cant numeric
@attribute despite numeric
@attribute moving numeric
@attribute begins numeric
@attribute looks numeric
@attribute intelligent numeric
@attribute side numeric
@attribute amazing numeric
@attribute talent numeric
@attribute created numeric
@attribute emotional numeric
@attribute does numeric
@attribute relationship numeric
@attribute least numeric
@attribute become numeric
@attribute should numeric
@attribute father numeric
@attribute supporting numeric
@attribute america numeric
@attribute between numeric
@attribute only numeric
@attribute i numeric
@attribute dialogue numeric
@attribute why numeric
@attribute thinking numeric
@attribute give numeric
@attribute sweet numeric
@attribute throughout numeric
@attribute if numeric
@attribute love numeric
@attribute filmmakers numeric
@attribute gives numeric
@attribute youre numeric
@attribute feel numeric
@attribute director numeric
@attribute job numeric
@attribute here numeric
@attribute takes numeric
@attribute animation numeric
@attribute drama numeric
@attribute enjoyable numeric
@attribute whether numeric
@attribute private numeric
@attribute lives numeric
@attribute entertaining numeric
@attribute apparently numeric
@attribute power numeric
@attribute different numeric
@attribute im numeric
@attribute strange numeric
@attribute definitely numeric
@attribute nature numeric
@attribute name numeric
@attribute truman numeric
@attribute pretty numeric
@attribute mother numeric
@attribute parents numeric
@attribute dont numeric
@attribute picture numeric
@attribute think numeric
@attribute master numeric
@attribute each numeric
@attribute always numeric
@attribute point numeric
@attribute minor numeric
@attribute out numeric
@attribute young numeric
@attribute while numeric
@attribute batman numeric
@attribute anyone numeric
@attribute dark numeric
@attribute feeling numeric
@attribute age numeric
@attribute often numeric
@attribute potential numeric
@attribute watching numeric
@attribute everyone numeric
@attribute choice numeric
@attribute thought numeric
@attribute works numeric
@attribute ten numeric
@attribute himself numeric
@attribute whats numeric

@data
neg,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
neg,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
neg,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
neg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
neg,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pos,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
pos,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
pos,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
pos,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
neg,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
neg,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
neg,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
pos,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
